Video ID,Comment ID,Published At,Updated At,Likes,Comment Text,BERT Label,confidence,True Label,predicted_label
7SlILk2WMTI,UgyJlZx-ddFDNRroEeZ4AaABAg,2023-06-22T19:12:16Z,2023-06-22T19:12:16Z,0,the best Marvel movie.,NON_HATE,0.9761807323,NON_HATE,NON_HATE
7SlILk2WMTI,UgxPqSEWX_Seet2CPWB4AaABAg,2023-06-22T17:56:03Z,2023-06-22T17:56:03Z,0,Everything the russo bros did in marvel was outstanding. But now they forgot how to make movies and are make movies like Gray man.,NON_HATE,0.9637633562,NON_HATE,NON_HATE
7SlILk2WMTI,UgwiQUo1RSYRu2UCg6Z4AaABAg,2023-06-21T22:40:55Z,2023-06-21T22:40:55Z,0,"This movie was the best MCU movie for almost 10 years before Gaurdians 3 just became my favorite. It was a great run, and hope marvel makes another film like this one again",NON_HATE,0.9710134864,NON_HATE,NON_HATE
7SlILk2WMTI,UgwZn1fb5oT2a5JanyJ4AaABAg,2023-06-21T03:15:52Z,2023-06-21T03:15:52Z,1,Cap and GOG have the best trilogies in the MCU. Spiderman is a close 2nd,NON_HATE,0.9699292779,NON_HATE,NON_HATE
7SlILk2WMTI,Ugw0H-MpjO-GpEpLTRJ4AaABAg,2023-06-14T19:27:28Z,2023-06-14T19:27:28Z,0,It's been like 5 years since i watched this movie for the first time but it feels like it was yesterday,NON_HATE,0.9749644995,NON_HATE,NON_HATE
7SlILk2WMTI,UgwFla4qEnC7f-tKdS54AaABAg,2023-06-08T17:36:26Z,2023-06-08T17:36:26Z,1,"Captain America franchise have best trilogy, i think",NON_HATE,0.9744361639,NON_HATE,NON_HATE
7SlILk2WMTI,Ugz5bMSWvJ9_H5SUiRF4AaABAg,2023-06-06T10:51:06Z,2023-06-06T10:51:06Z,1,Since captain amarica is my favorite marvel hero this is my favorite mcu flim,NON_HATE,0.9570803046,NON_HATE,NON_HATE
7SlILk2WMTI,UgywWdqJH4zHeR_G9tx4AaABAg,2023-06-02T18:39:46Z,2023-06-02T18:39:46Z,1,It’s kinda crazy how everyone thought cap was super lame until this movie lol,NON_HATE,0.96887815,NON_HATE,NON_HATE
7SlILk2WMTI,UgyQkugkagCDbKLUIeV4AaABAg,2023-05-29T20:21:36Z,2023-05-29T20:21:36Z,1,Wanna say this was the last marvel movie where the trailer was just like. Yeah. Gonna see this. And also this is badass. Superhero movies are terrible. Marvel can't make a good movie to save their lives,NON_HATE,0.8994902968,NON_HATE,NON_HATE
7SlILk2WMTI,Ugy24OXYskJFlTWNA2h4AaABAg,2023-05-24T17:53:19Z,2023-05-24T17:53:19Z,0,P,NON_HATE,0.9780728221,NON_HATE,NON_HATE
